speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
kineid,King Eider,Somateria spectabilis,Present,Present,Present,Present,Present,Present,Present,,Present,,
comeid,Common Eider,Somateria mollissima,Present,Present,Present,,Present,Present,Present,,Present,,Present
harduc,Harlequin Duck,Histrionicus histrionicus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
sursco,Surf Scoter,Melanitta perspicillata,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
whwsco2,White-winged Scoter,Melanitta deglandi,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
whwsco1,Stejneger's Scoter,Melanitta stejnegeri,,,,Present,,Present,Present,,,,
blksco1,Common Scoter,Melanitta nigra,,,,,,Present,,,Present,,
blksco2,Black Scoter,Melanitta americana,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
lotduc,Long-tailed Duck,Clangula hyemalis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
buffle,Bufflehead,Bucephala albeola,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
comgol,Common Goldeneye,Bucephala clangula,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
bargol,Barrow's Goldeneye,Bucephala islandica,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
smew,Smew,Mergellus albellus,Present,,Present,,,Present,Present,,Present,,
hoomer,Hooded Merganser,Lophodytes cucullatus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
commer,Common Merganser,Mergus merganser,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
rebmer,Red-breasted Merganser,Mergus serrator,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
masduc,Masked Duck,Nomonyx dominicus,Present,Present,Present,,Present,,,,,Present,Present
rudduc,Ruddy Duck,Oxyura jamaicensis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
higgua1,Highland Guan,Penelopina nigra,,,,,,,,,,Present,
blagua1,Black Guan,Chamaepetes unicolor,,,,,,,,,,Present,
trpgua1,Trinidad Piping-Guan,Pipile pipile,,,,,,,,,,,Present
cregua1,Crested Guan,Penelope purpurascens,,,,,,,,,,Present,
baugua1,Baudo Guan,Penelope ortoni,,,,,,,,,,Present,
horgua1,Horned Guan,Oreophasis derbianus,,,,,,,,,,Present,
grecur1,Great Curassow,Crax rubra,,,,,,,,,,Present,
placha,Plain Chachalaca,Ortalis vetula,,Present,,,Present,,,,,Present,
whbcha1,White-bellied Chachalaca,Ortalis leucogastra,,,,,,,,,,Present,
wemcha1,West Mexican Chachalaca,Ortalis poliocephala,,,,,,,,,,Present,
rubcha1,Rufous-bellied Chachalaca,Ortalis wagleri,,,,,,,,,,Present,
grhcha1,Gray-headed Chachalaca,Ortalis cinereiceps,,,,,,,,,,Present,
ruvcha1,Rufous-vented Chachalaca,Ortalis ruficauda,,,,,,,,,,,Present
helgui,Helmeted Guineafowl,Numida meleagris,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
tafqua1,Tawny-faced Quail,Rhynchortyx cinctus,,,,,,,,,,Present,
mouqua,Mountain Quail,Oreortyx pictus,,,Present,Present,,Present,,,Present,Present,
bcwpar1,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,,,,,,,,,,Present,
ltwpar1,Long-tailed Wood-Partridge,Dendrortyx macroura,,,,,,,,,,Present,
bewpar1,Bearded Wood-Partridge,Dendrortyx barbatus,,,,,,,,,,Present,
banqua1,Banded Quail,Philortyx fasciatus,,,,,,,,,,Present,
norbob,Northern Bobwhite,Colinus virginianus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
bltbob1,Black-throated Bobwhite,Colinus nigrogularis,,,,,,,,,,Present,
crebob2,Spot-bellied Bobwhite,Colinus leucopogon,,,,,,,,,,Present,
crebob1,Crested Bobwhite,Colinus cristatus,,,,,,,,,,Present,Present
scaqua,Scaled Quail,Callipepla squamata,Present,,Present,Present,Present,Present,,,,Present,
elequa,Elegant Quail,Callipepla douglasii,,,,,Present,,,,,Present,
calqua,California Quail,Callipepla californica,Present,Present,Present,Present,Present,Present,,Present,Present,Present,
gamqua,Gambel's Quail,Callipepla gambelii,Present,Present,Present,Present,Present,Present,,Present,Present,Present,
monqua,Montezuma Quail,Cyrtonyx montezumae,,,,,Present,,,,,Present,
ocequa1,Ocellated Quail,Cyrtonyx ocellatus,,,,,,,,,,Present,
sinqua1,Singing Quail,Dactylortyx thoracicus,,,,,,,,,,Present,
mawqua1,Marbled Wood-Quail,Odontophorus gujanensis,,,,,,,,,,Present,
bewqua1,Black-eared Wood-Quail,Odontophorus melanotis,,,,,,,,,,Present,
tawqua1,Tacarcuna Wood-Quail,Odontophorus dialeucos,,,,,,,,,,Present,
bbwqua1,Black-breasted Wood-Quail,Odontophorus leucolaemus,,,,,,,,,,Present,
spwqua1,Spotted Wood-Quail,Odontophorus guttatus,,,,,,,,,,Present,
wiltur,Wild Turkey,Meleagris gallopavo,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
ocetur1,Ocellated Turkey,Meleagris ocellata,,,,,,,,,,Present,
rufgro,Ruffed Grouse,Bonasa umbellus,Present,Present,Present,Present,,Present,Present,,Present,,
saggro,Greater Sage-Grouse,Centrocercus urophasianus,,,Present,Present,,Present,,,Present,,
gusgro,Gunnison Sage-Grouse,Centrocercus minimus,,,,Present,Present,,,,,,
dusgro,Dusky Grouse,Dendragapus obscurus,,,Present,Present,Present,Present,,,Present,,
soogro1,Sooty Grouse,Dendragapus fuliginosus,,,,Present,,Present,Present,,Present,,
shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus,Present,,Present,Present,Present,Present,Present,,Present,,
grpchi,Greater Prairie-Chicken,Tympanuchus cupido,Present,Present,Present,Present,Present,,,,Present,,
lepchi,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,,,Present,Present,Present,,,,,,
whtpta1,White-tailed Ptarmigan,Lagopus leucura,,,,Present,Present,Present,Present,,Present,,
wilpta,Willow Ptarmigan,Lagopus lagopus,Present,,Present,Present,,,Present,,Present,,
rocpta1,Rock Ptarmigan,Lagopus muta,,,Present,,,,Present,,Present,,
sprgro,Spruce Grouse,Canachites canadensis,Present,,Present,Present,,Present,Present,,Present,,
grypar,Gray Partridge,Perdix perdix,Present,Present,Present,Present,Present,Present,,,Present,,
reephe1,Reeves's Pheasant,Syrmaticus reevesii,,,,,,Present,,Present,Present,,
golphe,Golden Pheasant,Chrysolophus pictus,Present,Present,Present,Present,Present,Present,,Present,Present,,
laaphe1,Lady Amherst's Pheasant,Chrysolophus amherstiae,Present,Present,Present,,Present,Present,,,Present,,
rinphe1,Ring-necked Pheasant,Phasianus colchicus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
rinphe2,Green Pheasant,Phasianus versicolor,Present,Present,Present,Present,Present,Present,Present,Present,,,
swiphe1,Swinhoe's Pheasant,Lophura swinhoii,,,Present,,,Present,,,,,
kalphe,Kalij Pheasant,Lophura leucomelanos,,,,,,Present,,Present,,,
silphe,Silver Pheasant,Lophura nycthemera,Present,Present,Present,,,Present,,Present,Present,Present,
compea,Indian Peafowl,Pavo cristatus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
grepea1,Green Peafowl,Pavo muticus,Present,Present,,,,Present,,,Present,,
grypep2,Gray Peacock-Pheasant,Polyplectron bicalcaratum,,,,,,Present,,,,,
redjun,Red Junglefowl,Gallus gallus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
gryfra,Gray Francolin,Ortygornis pondicerianus,,,,,,,,Present,,,
blkfra,Black Francolin,Francolinus francolinus,,Present,,,,Present,,Present,,,
himsno,Himalayan Snowcock,Tetraogallus himalayensis,,,,Present,,,,,,,
blbqua1,Blue-breasted Quail,Synoicus chinensis,Present,,,,,,,,Present,,
comqua1,Common Quail,Coturnix coturnix,Present,,Present,,,Present,,,Present,,
japqua,Japanese Quail,Coturnix japonica,Present,Present,,Present,Present,Present,,Present,Present,,Present
relpar1,Red-legged Partridge,Alectoris rufa,Present,Present,Present,Present,Present,Present,,,Present,,
chukar,Chukar,Alectoris chukar,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
rocpar2,Rock Partridge,Alectoris graeca,,,,,,,,,Present,,
ercfra,Erckel's Spurfowl,Pternistis erckelii,,,,,,,,Present,,,
rocpig,Rock Pigeon,Columba livia,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
spepig1,Speckled Pigeon,Columba guinea,,Present,,,,Present,,,,,
cowpig1,Common Wood-Pigeon,Columba palumbus,,,,,Present,,,,Present,,
pavpig2,Pale-vented Pigeon,Patagioenas cayennensis,,,,,,,,,,Present,Present
scapig2,Scaled Pigeon,Patagioenas speciosa,,,,,,,,,,Present,Present
scnpig1,Scaly-naped Pigeon,Patagioenas squamosa,,Present,,,,,,,,,Present
baepig2,Bare-eyed Pigeon,Patagioenas corensis,,,,,,,,,,,Present
whcpig2,White-crowned Pigeon,Patagioenas leucocephala,,Present,,,Present,,,,,Present,Present
rebpig1,Red-billed Pigeon,Patagioenas flavirostris,,,,,Present,,,,,Present,
plapig,Plain Pigeon,Patagioenas inornata,,,,,,,,,,,Present
batpig1,Band-tailed Pigeon,Patagioenas fasciata,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
ritpig,Ring-tailed Pigeon,Patagioenas caribaea,,,,,,,,,,,Present
plupig2,Plumbeous Pigeon,Patagioenas plumbea,,,,,,,,,,Present,
rudpig,Ruddy Pigeon,Patagioenas subvinacea,,,,,,,,,,Present,
shbpig,Short-billed Pigeon,Patagioenas nigrirostris,,,,,,,,,,Present,
duspig2,Dusky Pigeon,Patagioenas goodsoni,,,,,,,,,,Present,
paspig,Passenger Pigeon,Ectopistes migratorius,Present,Present,Present,Present,,,,,Present,,Present
eutdov,European Turtle-Dove,Streptopelia turtur,Present,Present,Present,,,,,,Present,,
ortdov,Oriental Turtle-Dove,Streptopelia orientalis,,,,,,Present,Present,,Present,,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
afcdov1,African Collared-Dove,Streptopelia roseogrisea,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
rindov,Ring-necked Dove,Streptopelia capicola,Present,Present,,,Present,Present,,,Present,,
spodov,Spotted Dove,Spilopelia chinensis,Present,Present,Present,,,Present,,Present,Present,Present,
laudov1,Laughing Dove,Spilopelia senegalensis,,,,,,Present,,,Present,,Present
namdov1,Namaqua Dove,Oena capensis,,,,,,Present,,,,,
crepig1,Crested Pigeon,Ocyphaps lophotes,,,,,,Present,,,Present,,
diadov1,Diamond Dove,Geopelia cuneata,Present,Present,Present,,Present,Present,,,Present,,Present
zebdov,Zebra Dove,Geopelia striata,,,,,,Present,,Present,Present,,
incdov,Inca Dove,Columbina inca,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
cogdov,Common Ground Dove,Columbina passerina,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
pbgdov1,Plain-breasted Ground Dove,Columbina minuta,,,,,,,,,,Present,Present
rugdov,Ruddy Ground Dove,Columbina talpacoti,,Present,,Present,Present,Present,,,,Present,Present
scadov1,Scaled Dove,Columbina squammata,,,,,,,,,,,Present
blgdov1,Blue Ground Dove,Claravis pretiosa,,,,,,,,,,Present,Present
mcgdov1,Maroon-chested Ground Dove,Paraclaravis mondetoura,,,,,,,,,,Present,
bhqdov1,Blue-headed Quail-Dove,Starnoenas cyanocephala,,,,,,,,,,,Present
crqdov1,Crested Quail-Dove,Geotrygon versicolor,,,,,,,,,,,Present
ruqdov,Ruddy Quail-Dove,Geotrygon montana,,Present,,,Present,,,,,Present,Present
viqdov1,Violaceous Quail-Dove,Geotrygon violacea,,,,,,,,,,Present,
gfqdov,Gray-fronted Quail-Dove,Geotrygon caniceps,,,,,,,,,,,Present
wfqdov,White-fronted Quail-Dove,Geotrygon leucometopia,,,,,,,,,,,Present
kwqdov,Key West Quail-Dove,Geotrygon chrysia,,Present,,,,,,,,,Present
brqdov1,Bridled Quail-Dove,Geotrygon mystacea,,,,,,,,,,,Present
obqdov1,Olive-backed Quail-Dove,Leptotrygon veraguensis,,,,,,,,,,Present,
whtdov,White-tipped Dove,Leptotila verreauxi,,Present,,,Present,,,,,Present,Present
cardov1,Caribbean Dove,Leptotila jamaicensis,,,,,,,,,,Present,Present
grcdov1,Gray-chested Dove,Leptotila cassinii,,,,,,,,,,Present,
gyhdov1,Gray-headed Dove,Leptotila plumbeiceps,,,,,,,,,,Present,
grfdov1,Gray-fronted Dove,Leptotila rufaxilla,,,,,,,,,,,Present
gredov1,Grenada Dove,Leptotila wellsi,,,,,,,,,,,Present
tuqdov1,Tuxtla Quail-Dove,Zentrygon carrikeri,,,,,,,,,,Present,
bfqdov1,Buff-fronted Quail-Dove,Zentrygon costaricensis,,,,,,,,,,Present,
pbqdov1,Purplish-backed Quail-Dove,Zentrygon lawrencii,,,,,,,,,,Present,
wfqdov1,White-faced Quail-Dove,Zentrygon albifacies,,,,,,,,,,Present,
chqdov1,Chiriqui Quail-Dove,Zentrygon chiriquensis,,,,,,,,,,Present,
rcqdov1,Russet-crowned Quail-Dove,Zentrygon goldmani,,,,,,,,,,Present,
whwdov,White-winged Dove,Zenaida asiatica,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
zendov,Zenaida Dove,Zenaida aurita,,Present,,,,,,,,Present,Present
eardov1,Eared Dove,Zenaida auriculata,,,,,,,,,,Present,Present
moudov,Mourning Dove,Zenaida macroura,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
socdov1,Socorro Dove,Zenaida graysoni,,,,,,,,,,Present,
piipig1,Pied Imperial-Pigeon,Ducula bicolor,,,,,,,,,,,Present
chbsan,Chestnut-bellied Sandgrouse,Pterocles exustus,,,,,,,,Present,,,
grygab1,Gray Go-away-bird,Crinifer concolor,,,,,Present,Present,,,,,
whctur1,White-cheeked Turaco,Menelikornis leucotis,,Present,,,,Present,,,,,
guicuc1,Guira Cuckoo,Guira guira,,,,,,,,,,,Present
greani1,Greater Ani,Crotophaga major,,,,,,,,,,Present,Present
smbani,Smooth-billed Ani,Crotophaga ani,,Present,Present,,Present,,,,,Present,Present
grbani,Groove-billed Ani,Crotophaga sulcirostris,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
strcuc1,Striped Cuckoo,Tapera naevia,,,,,,,,,,Present,Present
phecuc1,Pheasant Cuckoo,Dromococcyx phasianellus,,,,,,,,,,Present,
legcuc1,Lesser Ground-Cuckoo,Morococcyx erythropygus,,,,,,,,,,Present,
lesroa1,Lesser Roadrunner,Geococcyx velox,,,,,,,,,,Present,
greroa,Greater Roadrunner,Geococcyx californianus,,Present,Present,Present,Present,Present,,,,Present,
rvgcuc1,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,,,,,,,,,,Present,
litcuc2,Little Cuckoo,Coccycua minuta,,,,,,,,,,Present,Present
dwacuc1,Dwarf Cuckoo,Coccycua pumila,,,,,,,,,,Present,
squcuc2,Mexican Squirrel-Cuckoo,Piaya mexicana,,,,,,,,,,Present,
squcuc1,Common Squirrel-Cuckoo,Piaya cayana,,,,,,,,,,Present,Present
dabcuc1,Dark-billed Cuckoo,Coccyzus melacoryphus,,Present,,,Present,,,,,Present,Present
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
pebcuc1,Pearly-breasted Cuckoo,Coccyzus euleri,,,,,,,,,,Present,
mancuc,Mangrove Cuckoo,Coccyzus minor,,Present,,,Present,,,,,Present,Present
coccuc1,Cocos Cuckoo,Coccyzus ferrugineus,,,,,,,,,,Present,
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
gyccuc,Gray-capped Cuckoo,Coccyzus lansbergi,,,,,,,,,,Present,Present
chbcuc4,Chestnut-bellied Cuckoo,Coccyzus pluvialis,,,,,,,,,,,Present
babcuc4,Bay-breasted Cuckoo,Coccyzus rufigularis,,,,,,,,,,,Present
jamlic1,Jamaican Lizard-Cuckoo,Coccyzus vetula,,,,,,,,,,,Present
purlic1,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,,,,,,,,,,,Present
grelic1,Great Lizard-Cuckoo,Coccyzus merlini,,,,,,,,,,,Present
hislic1,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,,,,,,,,,,,Present
comcuc,Common Cuckoo,Cuculus canorus,Present,,,,,Present,Present,,Present,,Present
oricuc2,Oriental Cuckoo,Cuculus optatus,,,,,,,Present,,,,
nacnig1,Nacunda Nighthawk,Chordeiles nacunda,,,,,,,,,,,Present
lesnig,Lesser Nighthawk,Chordeiles acutipennis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
comnig,Common Nighthawk,Chordeiles minor,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
antnig,Antillean Nighthawk,Chordeiles gundlachii,,Present,,,,,,,,Present,Present
shtnig1,Short-tailed Nighthawk,Lurocalis semitorquatus,,,,,,,,,,Present,Present
compau,Common Pauraque,Nyctidromus albicollis,,,,,Present,,,,,Present,Present
sptnig1,Spot-tailed Nightjar,Antiurus maculicaudus,,,,,,,,,,Present,
whtnig1,White-tailed Nightjar,Hydropsalis cayennensis,,,,,,,,,,Present,Present
jampau,Jamaican Pauraque,Siphonorhis americana,,,,,,,,,,,Present
leapau1,Least Pauraque,Siphonorhis brewsteri,,,,,,,,,,,Present
earpoo1,Eared Poorwill,Nyctiphrynus mcleodii,,,,,,,,,,Present,
yucpoo1,Yucatan Poorwill,Nyctiphrynus yucatanicus,,,,,,,,,,Present,
ocepoo1,Ocellated Poorwill,Nyctiphrynus ocellatus,,,,,,,,,,Present,
compoo,Common Poorwill,Phalaenoptilus nuttallii,,,Present,Present,Present,Present,,,Present,Present,
chwwid,Chuck-will's-widow,Antrostomus carolinensis,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
rufnig1,Rufous Nightjar,Antrostomus rufus,,,,,,,,,,Present,Present
granig2,Cuban Nightjar,Antrostomus cubanensis,,,,,,,,,,,Present
granig3,Hispaniolan Nightjar,Antrostomus ekmani,,,,,,,,,,,Present
tacnig1,Tawny-collared Nightjar,Antrostomus salvini,,,,,,,,,,Present,
yucnig1,Yucatan Nightjar,Antrostomus badius,,,,,,,,,,Present,
bucnig,Buff-collared Nightjar,Antrostomus ridgwayi,,,,,Present,Present,,,,Present,
easwpw1,Eastern Whip-poor-will,Antrostomus vociferus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
dusnig1,Dusky Nightjar,Antrostomus saturatus,,,,,,,,,,Present,
souwpw1,Mexican Whip-poor-will,Antrostomus arizonae,,,,Present,Present,Present,,,,Present,
purnig1,Puerto Rican Nightjar,Antrostomus noctitherus,,,,,,,,,,,Present
grynig1,Gray Nightjar,Caprimulgus jotaka,,,,,,,Present,,,,
grepot1,Great Potoo,Nyctibius grandis,,,,,,,,,,Present,
compot1,Common Potoo,Nyctibius griseus,,,,,,,,,,Present,Present
norpot1,Northern Potoo,Nyctibius jamaicensis,,,,,,,,,,Present,Present
oilbir1,Oilbird,Steatornis caripensis,,,,,,,,,,Present,Present
blkswi,Black Swift,Cypseloides niger,Present,Present,,Present,Present,Present,Present,,Present,Present,Present
whfswi1,White-fronted Swift,Cypseloides storeri,,,,,,,,,,Present,
whcswi1,White-chinned Swift,Cypseloides cryptus,,,,,,,,,,Present,
spfswi1,Spot-fronted Swift,Cypseloides cherriei,,,,,,,,,,Present,
chcswi1,Chestnut-collared Swift,Streptoprocne rutila,,,,,,,,,,Present,Present
whcswi,White-collared Swift,Streptoprocne zonaris,,Present,Present,,Present,Present,,,Present,Present,Present
whnswi1,White-naped Swift,Streptoprocne semicollaris,,,,,,,,,,Present,
grrswi1,Gray-rumped Swift,Chaetura cinereiventris,,,,,,,,,,Present,Present
barswi,Band-rumped Swift,Chaetura spinicaudus,,,,,,,,,,Present,Present
corswi,Costa Rican Swift,Chaetura fumosa,,,,,,,,,,Present,
leaswi1,Lesser Antillean Swift,Chaetura martinica,,,,,,,,,,,Present
chiswi,Chimney Swift,Chaetura pelagica,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
vauswi,Vaux's Swift,Chaetura vauxi,,Present,,Present,Present,Present,Present,,Present,Present,Present
chaswi2,Chapman's Swift,Chaetura chapmani,,,,,,,,,,Present,Present
shtswi1,Short-tailed Swift,Chaetura brachyura,,,,,,,,,,Present,Present
whtnee,White-throated Needletail,Hirundapus caudacutus,,,,,,,Present,,,,
marswi,Mariana Swiftlet,Aerodramus bartschi,,,,,,,,Present,,,
alpswi1,Alpine Swift,Tachymarptis melba,,,,,,,,,,,Present
comswi,Common Swift,Apus apus,Present,Present,,,,Present,Present,,Present,,Present
fotswi,Pacific Swift,Apus pacificus,,,,,,,Present,Present,Present,,
litswi1,Little Swift,Apus affinis,,,,,,,,,,,Present
whtswi,White-throated Swift,Aeronautes saxatalis,,Present,Present,Present,Present,Present,,,Present,Present,
lstswi1,Lesser Swallow-tailed Swift,Panyptila cayennensis,,,,,,,,,,Present,Present
gstswi1,Great Swallow-tailed Swift,Panyptila sanctihieronymi,,,,,,,,,,Present,
anpswi,Antillean Palm Swift,Tachornis phoenicobia,,Present,,,,,,,,,Present
ftpswi1,Fork-tailed Palm Swift,Tachornis squamata,,,,,,,,,,,Present
whnjac1,White-necked Jacobin,Florisuga mellivora,,,,,,,,,,Present,Present
whtsic1,White-tipped Sicklebill,Eutoxeres aquila,,,,,,,,,,Present,
broher,Bronzy Hermit,Glaucis aeneus,,,,,,,,,,Present,
rubher,Rufous-breasted Hermit,Glaucis hirsutus,,,,,,,,,,Present,Present
batbar1,Band-tailed Barbthroat,Threnetes ruckeri,,,,,,,,,,Present,
whwher1,White-whiskered Hermit,Phaethornis yaruqui,,,,,,,,,,Present,
greher1,Green Hermit,Phaethornis guy,,,,,,,,,,Present,Present
lobher,Long-billed Hermit,Phaethornis longirostris,,,,,,,,,,Present,
mexher1,Mexican Hermit,Phaethornis mexicanus,,,,,,,,,,Present,
pabher1,Pale-bellied Hermit,Phaethornis anthophilus,,,,,,,,,,Present,
lither2,Little Hermit,Phaethornis longuemareus,,,,,,,,,,,Present
stther2,Stripe-throated Hermit,Phaethornis striigularis,,,,,,,,,,Present,
grflan1,Green-fronted Lancebill,Doryfera ludovicae,,,,,,,,,,Present,
brvear1,Brown Violetear,Colibri delphinae,,,,,,,,,,Present,Present
grnvie1,Mexican Violetear,Colibri thalassinus,Present,Present,Present,Present,Present,Present,,,Present,Present,
lesvio1,Lesser Violetear,Colibri cyanotus,,,,,,,,,,Present,
tobhum1,Tooth-billed Hummingbird,Androdon aequatorialis,,,,,,,,,,Present,
pucfai1,Purple-crowned Fairy,Heliothryx barroti,,,,,,,,,,Present,
whtgol1,White-tailed Goldenthroat,Polytmus guainumbi,,,,,,,,,,,Present
ruthum1,Ruby-topaz Hummingbird,Chrysolampis mosquitus,,,,,,,,,,Present,Present
jamman1,Jamaican Mango,Anthracothorax mango,,,,,,,,,,,Present
bltman1,Black-throated Mango,Anthracothorax nigricollis,,,,,,,,,,Present,Present
grtman1,Green-throated Mango,Anthracothorax viridigula,,,,,,,,,,,Present
gnbman,Green-breasted Mango,Anthracothorax prevostii,,Present,Present,,Present,,,,,Present,
verman1,Veraguan Mango,Anthracothorax veraguensis,,,,,,,,,,Present,
antman2,Hispaniolan Mango,Anthracothorax dominicus,,,,,,,,,,,Present
antman3,Puerto Rican Mango,Anthracothorax aurulentus,,,,,,,,,,,Present
greman1,Green Mango,Anthracothorax viridis,,,,,,,,,,,Present
putcar1,Purple-throated Carib,Eulampis jugularis,,,,,,,,,,,Present
grtcar1,Green-throated Carib,Eulampis holosericeus,,,,,,,,,,,Present
gretho1,Green Thorntail,Discosura conversii,,,,,,,,,,Present,
tufcoq1,Tufted Coquette,Lophornis ornatus,,,,,,,,,,,Present
shccoq,Short-crested Coquette,Lophornis brachylophus,,,,,,,,,,Present,
ruccoq1,Rufous-crested Coquette,Lophornis delattrei,,,,,,,,,,Present,
blccoq1,Black-crested Coquette,Lophornis helenae,,,,,,,,,,Present,
whccoq1,White-crested Coquette,Lophornis adorabilis,,,,,,,,,,Present,
grepuf1,Greenish Puffleg,Haplophaedia aureliae,,,,,,,,,,Present,
grcbri1,Green-crowned Brilliant,Heliodoxa jacula,,,,,,,,,,Present,
maghum1,Rivoli's Hummingbird,Eugenes fulgens,,Present,Present,Present,Present,Present,,,,Present,
maghum2,Talamanca Hummingbird,Eugenes spectabilis,,,,,,,,,,Present,
lobsta1,Long-billed Starthroat,Heliomaster longirostris,,,,,,,,,,Present,Present
plcsta,Plain-capped Starthroat,Heliomaster constantii,,,,,Present,,,,,Present,
fithum1,Fiery-throated Hummingbird,Panterpe insignis,,,,,,,,,,Present,
gtmgem1,Green-throated Mountain-gem,Lampornis viridipallens,,,,,,,,,,Present,
gbmgem1,Green-breasted Mountain-gem,Lampornis sybillae,,,,,,,,,,Present,
amthum1,Amethyst-throated Mountain-gem,Lampornis amethystinus,,,,,Present,,,,Present,Present,
buthum,Blue-throated Mountain-gem,Lampornis clemenciae,,Present,,Present,Present,Present,,,,Present,
wbmgem1,White-bellied Mountain-gem,Lampornis hemileucus,,,,,,,,,,Present,
ptmgem,Purple-throated Mountain-gem,Lampornis calolaemus,,,,,,,,,,Present,
wtmgem1,White-throated Mountain-gem,Lampornis castaneoventris,,,,,,,,,,Present,
gathum1,Garnet-throated Hummingbird,Lamprolaima rhami,,,,,,,,,,Present,
spthum1,Sparkling-tailed Hummingbird,Tilmatura dupontii,,,,,,,,,,Present,
amewoo1,Amethyst Woodstar,Calliphlox amethystina,,,,,,,,,,,Present
ruswoo1,Rufous-shafted Woodstar,Chaetocercus jourdanii,,,,,,,,,,,Present
matwoo1,Magenta-throated Woodstar,Philodice bryantae,,,,,,,,,,Present,
putwoo1,Purple-throated Woodstar,Philodice mitchellii,,,,,,,,,,Present,
sleshe1,Slender Sheartail,Doricha enicura,,,,,,,,,,Present,
mexshe1,Mexican Sheartail,Doricha eliza,,,,,,,,,,Present,
luchum,Lucifer Hummingbird,Calothorax lucifer,,Present,,,Present,,,,,Present,
beahum1,Beautiful Hummingbird,Calothorax pulcher,,,,,,,,,,Present,
rthhum,Ruby-throated Hummingbird,Archilochus colubris,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
bkchum,Black-chinned Hummingbird,Archilochus alexandri,Present,Present,Present,Present,Present,Present,,,Present,Present,
bahwoo,Bahama Woodstar,Nesophlox evelynae,,Present,,,,,,,,,Present
inawoo2,Inagua Woodstar,Nesophlox lyrura,,,,,,,,,,,Present
verhum1,Vervain Hummingbird,Mellisuga minima,,,,,,,,,,,Present
beehum1,Bee Hummingbird,Mellisuga helenae,,,,,,,,,,,Present
annhum,Anna's Hummingbird,Calypte anna,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
coshum,Costa's Hummingbird,Calypte costae,,Present,Present,Present,Present,Present,Present,,Present,Present,
calhum,Calliope Hummingbird,Selasphorus calliope,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
rufhum,Rufous Hummingbird,Selasphorus rufus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
allhum,Allen's Hummingbird,Selasphorus sasin,Present,Present,Present,,Present,Present,,,,Present,
brthum,Broad-tailed Hummingbird,Selasphorus platycercus,Present,Present,Present,Present,Present,Present,,,Present,Present,
